NAME,ZIP,LON,LAT,ADDRESS
Yorkville,10021,-73.95637252,40.77365564,222 East 79th Street
Arlington,11207,-73.88723724,40.68068926,203 Arlington Avenue
Bay Ridge,11209,-74.02953835,40.63362571,7223 Ridge Boulevard
Bedford,11238,-73.95616471,40.68181211,496 Franklin Avenue
Borough Park,11219,-73.98900319,40.63888884,1265 43rd Street
Brighton Beach <br> (Closed for Renovation),11235,-73.96677488,40.57610775,16 Brighton First Road
Brooklyn Heights,11201,-73.99134799,40.69568256,280 Cadman Plaza West
Brower Park,11216,-73.94856614,40.67537085,725 St. Marks Avenue
Brownsville,11212,-73.90860343,40.67152666,61 Glenmore Avenue
Bushwick,11206,-73.93961842,40.70455906,340 Bushwick Avenue
Canarsie,11236,-73.89952442,40.64220845,1580 Rockaway Parkway
Carroll Gardens,11231,-73.99801906,40.68321352,396 Clinton Street
Brooklyn Central Library,11238,-73.96822438,40.67234353,10 Grand Army Plaza
Clarendon,11210,-73.9476343,40.63574015,2035 Nostrand Avenue
Clinton Hill,11238,-73.96603067,40.68737909,380 Washington Avenue
Coney Island,11224,-73.98606199,40.57663778,1901 Mermaid Avenue
Cortelyou,11226,-73.96596508,40.64080355,1305 Cortelyou Road
Crown Heights,11225,-73.9481023,40.66118931,560 New York Avenue
Cypress Hills,11208,-73.87403488,40.67270747,1197 Sutter Avenue
DeKalb,11221,-73.92839867,40.6948167,790 Bushwick Avenue
Dyker,11228,-74.01198852,40.61630814,8202 13th Avenue
East Flatbush,11212,-73.91494062,40.65571088,9612 Church Avenue
Eastern Parkway,11213,-73.93365085,40.66848651,1044 Eastern Parkway
Flatbush,11226,-73.95824218,40.65192508,22 Linden Boulevard
Flatlands,11234,-73.93321326,40.6197682,2065 Flatbush Avenue
Fort Hamilton,11209,-74.03136941,40.61637311,9424 Fourth Avenue
Gerritsen Beach,11229,-73.92393763,40.59137103,2808 Gerritsen Avenue
Gravesend,11223,-73.97180845,40.59054439,303 Avenue X
Greenpoint,11222,-73.95069498,40.72602807,107 Norman Avenue
Highlawn,11223,-73.98624642,40.60569304,1664 West 13th Street
Homecrest,11223,-73.96059937,40.59523686,2525 Coney Island Avenue
Jamaica Bay,11236,-73.88924363,40.63446014,9727 Seaview Avenue
Kensington,11218,-73.97543591,40.63129183,4207 18th Avenue
Kings Bay,11229,-73.94112492,40.59486152,3650 Nostrand Avenue
Kings Highway,11229,-73.95310585,40.61025667,2115 Ocean Avenue
Leonard,11211,-73.94793571,40.71364489,81 Devoe Street
Macon,11233,-73.93480547,40.6830049,361 Lewis Avenue
Mapleton,11204,-73.98944015,40.6230914,1702 60th Street
Marcy,11216,-73.9512835,40.69162309,617 DeKalb Avenue
McKinley Park,11219,-74.01183731,40.62918753,6802 Fort Hamilton Parkway
Midwood,11230,-73.96031449,40.62589331,975 East 16th Street
Mill Basin,11234,-73.91702121,40.61986842,2385 Ralph Avenue
New Lots,11207,-73.88607054,40.66515937,665 New Lots Avenue
"New Utrecht <br> (Temporary Closed, will reopen later this Summer (2016).",11214,-74.00337655,40.60800935,1743 86th Street
Pacific,11217,-73.97858354,40.68346663,25 Fourth Avenue
Paerdegat,11234,-73.91998488,40.63263699,850 East 59th Street
Park Slope,11215,-73.98345537,40.66823507,431 6th Avenue
Red Hook,11231,-74.01034307,40.67524077,7 Wolcott Street
Rugby,11203,-73.93035653,40.64861929,1000 Utica Avenue
Ryder,11204,-73.97596653,40.61587983,5902 23rd Avenue
Saratoga,11233,-73.91513242,40.68481005,8 Thomas S. Boyland Street
Sheepshead Bay,11235,-73.95537378,40.58701343,2636 East 14th Street
Spring Creek,11207,-73.88586614,40.65320976,12143 Flatlands Avenue
Stone Avenue,11212,-73.90524945,40.66449963,581 Mother Gaston Boulevard
Sunset Park,11220,-74.01363,40.64591212,5108 4th Avenue
Ulmer Park,11214,-73.98862741,40.59268512,2602 Bath Avenue
